Domaine,Question,RÃ©ponse correcte
Python niveau 1,Qu'est-ce que Python ?,Un langage de programmation interprétée
Python niveau 1,Quelle est la différence entre Python 2 et Python 3 ?,Python 2 est obsolète Python 3 est la version actuelle avec des améliorations et des corrections de bogues
Python niveau 1,Comment déclare-t-on une variable en Python ?,"En utilisant l'opérateur ""="""
Python niveau 1,Quelle est la sortie de print(3 * 2)?,6
Python niveau 1,Quel est le résultat de l'expression 3 // 2 en Python ?,1
Python (POO),Qu'est-ce que la programmation orientée objet (POO) ?,Un paradigme de programmation basé sur la définition d'objets et de leurs interactions
Python (POO),Qu'est-ce qu'une classe en Python ?,Un modéle pour créer des objets
Python (POO),Comment appelle-t-on une fonction à l'intérieur d'une classe en Python ?,Méthode
Python (POO),Qu'est-ce qu'un constructeur en Python ?,Une méthode spéciale utilisée pour initialiser les objets lors de leur création
Python (POO),Quelle est la différence entre une méthode de classe et une méthode statique en Python ?,Une méthode de classe a accés à la classe elle-même via le mot-clé cls tandis qu'une méthode statique n'a pas accés à la classe
Java (POO),Qu'est-ce que Java ?,Un langage de programmation orientée objet
Java (POO),Quelle est la différence entre une classe et un objet en Java ?,Une classe est un modéle pour créer des objets tandis qu'un objet est une instance d'une classe
Java (POO),Comment déclare-t-on une classe en Java ?,"En utilisant le mot-clé "class" suivi du nom de la classe"
Java (POO),Qu'est-ce qu'une interface en Java ?,Une collection de méthodes abstraites et de constantes qui peuvent être implémentées par des classes
Java (POO),Quel est le mot-clé utilisé pour l'héritage en Java ?,extends
Base de données,Qu'est-ce qu'une base de données relationnelle ?,Une base de données organisée sous forme de tables reliées les unes aux autres
Base de données,Qu'est-ce que SQL ?,Un langage de requête structuré pour interagir avec les bases de données relationnelles
Base de données,Quelle est la commande SQL pour sélectionner toutes les colonnes d'une table ?,SELECT * FROM table_name
Base de données,Quelle est la commande SQL pour ajouter une nouvelle colonne à une table existante ?,ALTER TABLE table_name ADD column_name datatype
Base de données,Quelle est la commande SQL pour supprimer une table ?,DROP TABLE table_name
PL/SQL,Qu'est-ce que PL/SQL ?,Une extension procédurale de SQL utilisée dans Oracle Database
PL/SQL,Comment déclare-t-on une variable en PL/SQL ?,"En utilisant le mot-clé ""DECLARE"" suivi du nom de la variable et de son type"
PL/SQL,Quelle est la syntaxe pour écrire une boucle FOR en PL/SQL ?,FOR variable IN lower_bound..upper_bound LOOP ... END LOOP
PL/SQL,Comment déclare-t-on une procédure stockée en PL/SQL ?,"Utilisation du mot-clé ""CREATE PROCEDURE"" suivi du nom de la procédure et de ses paramétres"
PL/SQL,Quelle est la commande PL/SQL pour déclarer une exception ?,DECLARE my_exception EXCEPTION;
IA,Qu'est-ce que l'intelligence artificielle (IA) ?,La simulation de processus cognitifs humains par des machines
IA,Quelle est la différence entre l'IA faible et l'IA forte ?,L'IA faible est spécialisée dans une tache spécifique tandis que l'IA forte est capable de comprendre et de résoudre un large éventail de tache comme le ferait un étre humain
IA,Qu'est-ce qu'un réseau de neurones artificiels ?,Un modéle de calcul inspiré du fonctionnement du cerveau humain
IA,Quelle est la méthode la plus courante pour entrainer un modéle IA ?,L'apprentissage supervisé
IA,Qu'est-ce que le deep learning ?,Une sous-discipline de l'IA qui utilise des réseaux de neurones artificiels à plusieurs couches pour apprendre des données complexes
ML,Qu'est-ce que l'apprentissage automatique (ML) ?,Un sous-domaine de l'intelligence artificielle qui permet aux ordinateurs d'apprendre à partir de données sans étre explicitement programmés
ML,Quelle est la différence entre l'apprentissage supervisé et non supervisé ?,L'apprentissage supervisé utilise des données étiquetées pour entraainer un modéle tandis que l'apprentissage non supervisé utilise des données non étiquetées
ML,Quelle est la métrique couramment utilisée pour évaluer les modéles de classification ?,Précision
ML,Qu'est-ce qu'une format aléatoire (Random Forest) ?,Un algorithme d'apprentissage supervisé utilisé pour la classification et la régression
ML,Qu'est-ce qu'un modele de régression linÃ©aire ?,Un modéle qui tente de modéliser la relation entre une variable dépendante et une ou plusieurs variables indépendantes en ajustant une ligne droite à travers les données
DL,Qu'est-ce que le deep learning (DL) ?,Une branche de l'apprentissage automatique qui utilise des réseaux de neurones artificiels profonds pour apprendre des représentations de données de haut niveau
DL,Quelle est la fonction d'activation la plus couramment utilisée dans les réseaux de neurones ?,La fonction ReLU (Rectified Linear Activation)
Python niveau 1,Qu'est-ce qu'une instruction if en Python ?,Une instruction de contrôle de flux utilisée pour exécuter du code conditionnellement
Python niveau 1,Quelle est la différence entre une liste et un tuple en Python ?,Une liste est mutable (modifiable) tandis qu'un tuple est immuable (non modifiable)
Python niveau 1,Comment fait-on un commentaire en Python ?,"En utilisant le symbole ""#"" pour un commentaire sur une seule ligne ou en utilisant une chaine de caractéres entre trois guillemets pour un commentaire sur plusieurs lignes"
Python niveau 1,Quelle est la méthode pour supprimer un élément d'une liste en Python ?,remove()
Python niveau 1,"Quelle est la différence entre les opérateurs ""=="" et ""is"" en Python ?",#ERROR!
Python (POO),Qu'est-ce qu'une instance en Python ?,Une occurrence d'un objet défini par une classe
